Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
2018-06-08 00:00:00,What is the most commonly used endoscopic method of controlling peptic ulcer bleeding?,The most commonly used endoscopic method of controlling peptic ulcer bleeding is injection of epinephrine around bleeding points combined with thermal hemostasis.,Gastroenterology,,,
2018-06-08 00:00:00,What are the actions of Octreotide in esophageal varices bleeding?,Octreotide causes splanchnic vasoconstriction and decreases portal collateral circulation and pressure.,Gastroenterology,,,
2018-06-08 00:00:00,What is the pathogenesis in Gilbert's disease?,Gilbert’s Syndrome causes mild decrease in glucanosyltransferase activity (the jaundice is primarily unconjugated). It is an autosomal dominant disease. It presents in teens-20s especially males. Cigler-Najjar Syndrome causes a complete decrease in the enzyme activity.,Gastroenterology,,,
2018-06-08 00:00:00,What are the diseases that are associated with PBC? ,"PBC is associated with Sjögren’s syndrome, scleroderma, CREST syndrome, RA, and thyroiditis). It affects mainly middle-aged women (M:F = 1:9). ",Gastroenterology,,,
2018-06-08 00:00:00,What is the confirmative test for PBC?,Liver biopsy is confirmative (it affects only the intrahepatic ducts). ,Gastroenterology,,,
2018-06-08 00:00:00,What is the treatment of PBC? ,"It is treated with ursodiol, cholestyramine (for pruritus and hypercholesterolemia) and calcium and vitamin D (for low bone density). The disease can be fatal, although not all asymptomatic patients show progression. ",Gastroenterology,,,
2018-06-08 00:00:00,What are the causes of in increased amylase? ,"Pancreatitis, biliary tract disease, bowel obstruction/ischemia, perforated ulcer, ruptured ectopic pregnancy, aneurysm, chronic liver disease, peritonitis, salivary gland lesions, renal transplant/insufficiency, and burns are all causes of an increased serum amylase. ",Gastroenterology,,,
2018-06-08 00:00:00,What are the differences between amylase and lipase in their diagnostic ability?,Amylase is not specific to pancreas. Lipase stays elevated longer.,Gastroenterology,,,
2018-06-08 00:00:00,What are the medications that can cause pancreatitis? ,"Azathioprine, mercaptopurine, furosemide, and estrogens can cause pancreatitis. ",Gastroenterology,,,
2018-06-08 00:00:00,What are the most common causes of pancreatitis? ,Alcohol and gallstones,Gastroenterology,,,
2018-06-08 00:00:00,What are the causes of bleeding in acute pancreatitis? ,"The causes of bleeding include (1) gastric varices if splenic vein thrombosis, (2) pseudoaneurysm of vessels in areas of necrosis, especially splenic artery, and (3) duodenal ulcer related to compression of duodenum by the enlarged pancreas. ",Gastroenterology,,,
2018-06-08 00:00:00,What can be specific for a biliary cause of pancreatitis?,ALT of >150 is specific for biliary cause. ,Gastroenterology,,,
2018-06-08 00:00:00,What are the most important symptoms of chronic pancreatitis?,"The symptoms of chronic pancreatitis include abdominal pain (the most common problem), diabetes, and steatorrhea. ",Gastroenterology,,,
2018-06-08 00:00:00,What are the causes of chronic pancreatitis? ,The etiology is almost always alcohol. CF and malnutrition are among the other causes,Gastroenterology,,,
2018-06-08 00:00:00,What are the usual levels of amylase and lipase in chronic pancreatitis?,Usually normal,Gastroenterology,,,
2018-06-08 00:00:00,What are the tests that measure the exocrine function of the pancreas?,72 h fecal fat test measures the exocrine function (secretin test is the gold standard).,Gastroenterology,,,
2018-06-08 00:00:00,What are the surgical options in chronic pancreatitis? ,Drain the pancreatic duct (pancreatojejunostomy) if it is dilated. Resect the pancreas if it is contracted.,General Surgery,,,
2018-06-08 00:00:00,What can be a mimicker to pancreatic cancer?,Autoimmune pancreatitis most commonly presents as a mimicker of pancreatic cancer (pancreatic mass detected because of jaundice) with lymphocyte and plasma cell infiltration and increased serum IgG4. It responds to prednisone. It is associated with sialadenitis and retroperitoneal fibrosis. ,Oncology,,,
2018-06-08 00:00:00,List 7 anti-epileptic medications? ,"A.	Sodium channels blockers (Carbamazepine and Phenytoin) 
B.	Calcium channels blockers (Ethosuximide and Gabapentin)
C.	GABAergics (Phenobarbital and Diazepam)
D.	Valproate [Multiple actions]",Neurology,,,Yes
2018-06-08 00:00:00,What are the drugs that can be used in the acute management of migraine?,"A.	Aspirin 
B.	NSAIDS (e.g. Ibuprofen and Naproxen) 
C.	Triptans (e.g. Sumatriptan and Naratriptan)
D.	Ergots  (e.g. Ergotamine and Dihydroergotamine)",Neurology,,Yes,Yes
2018-06-08 00:00:00,What are the preventative drugs against margarine?,"A.	TCA (e.g. Amitriptyline and Nortriptyline)
B.	Beta blockers (Propranolol and Timolol)
C.	AED (e.g. Valproate)
D.	CCBs (e.g. Verapamil)",Family Medicine,,,Yes
2018-06-08 00:00:00,What are the drugs for insomnia? ,"A.	Short acting benzodiazepines (e.g. Lorazepam)
B.	Non-benzo hypnotics (e.g. Zolpidem and Eszopiclone)
C.	Low dose antidepressants with sedating properties (e.g. Amitriptyline)
D.	Combination of hypnotic and antidepressant or anxiolytic (e.g. Zolpidem + Paroxetine and Eszopiclone + Escitalopram)",Family Medicine,,,Yes
2018-06-08 00:00:00,List the classes of antidepressant medications.,"1. SSRI
2. SNRI
3. SDRI
4. TCA
5. Nonselective MAOI
",Psychiatry,,,Yes
2018-06-08 00:00:00,List 5 examples of antipsychotic.,"A.	Typical antipsychotics (e.g. Haloperidol)

B.	Atypical antipsychotics
1.	Risperidone
2.	Iloperidone
3.	Olanzapine
4.	Clozapine",Psychiatry,,,Yes
2018-06-08 00:00:00,What is osteoporosis? ,"Osteoporosis is a complex skeletal disease characterized by low bone density and micro-architectural defects in bone tissue, resulting in increased bone fragility and susceptibility to fracture.",Endocrinology,,,
2018-06-08 00:00:00,What are the methods of primary prevention of osteoporosis?,"1. Diet supplementation with calcium and vitamin D is a preventative measure aimed at preventing osteoporosis and reducing the incidence of fracture in people aged 50 years or older.
2. Raloxifene is indicated for primary prevention of osteoporosis in women with osteopenia whose BMD T-scores are between -2.5 and -2.0. 
3. The bisphosphonates alendronic acid and risedronate have been shown to effectively reduce bone fracture in patients receiving chronic corticosteroid treatment.",Endocrinology,,,
2018-06-08 00:00:00,What are the consideration that must be taking before prescribing Raloxifene in prevention of osteoporosis?   ,Decisions regarding the use of raloxifene for individual women must weigh the risks of venous thrombosis and stroke against potential benefits of reduced risk of vertebral fracture and estrogen receptor-positive breast cancer.,Endocrinology,,,Yes
2018-06-08 00:00:00,What are the mechanisms of corticosteroid-induced osteoporosis?,"The mechanisms of corticosteroid-induced osteoporosis are multifactorial and include osteoclast activation, osteoblast inhibition, decreased GI and renal calcium absorption, and decreased gonadotrophin secretion.",Endocrinology,,,
2018-06-08 00:00:00,What are the investigations for osteoporosis?,"The investigations to consider are: 
1.	DXA (T-score of ≤-2.5 indicates osteoporosis)
2.	Serum alkaline phosphatase (if elevated could indicate osteomalacia) 
3.	Serum calcium (hypocalcemia could indicate osteomalacia)
4.	Serum phosphate (low serum phosphate levels could indicate osteomalacia)
5.	serum 25-hydroxy vitamin D (to rule out vitamin deficiency)
6.	serum parathyroid hormone (screening for hyperparathyroidism)
7.	serum creatinine (concern for chronic kidney disease (CKD)-bone and mineral disorder)
8.	urinary free cortisol (if elevated could indicate Cushing's syndrome)",Endocrinology,,,
2018-06-08 00:00:00,What are the lines of treatment of osteoporosis?,"The treatment lines are
1st: bisphosphonates plus calcium and vitamin D supplementation
2nd: raloxifene or denosumab plus calcium and vitamin D supplementation
3rd: teriparatide plus calcium and vitamin D supplementation",Endocrinology,,,
2018-06-08 00:00:00,What are the considerations to be taken with bisphosphonates?,"Oral medication must be taken in the morning on an empty stomach with at least 240 mL (8 oz) of water and at least 30 minutes before eating, as food decreases absorption. Patient should remain upright when taking medication.",Endocrinology,,,Yes
2018-06-08 00:00:00,What are the adverse effects of bisphosphonates?,"Adverse effects of oral bisphosphonates primarily relate to the upper GI tract and include difficulty swallowing, esophagitis, and gastric ulcers. Joint and muscular pain, osteonecrosis of the jaw, and atypical femoral fractures have also been reported.",Endocrinology,,,Yes
2018-06-08 00:00:00,What is the mechanism of action of Raloxifene?,It is a selective estrogen receptor modulator.,Endocrinology,,,Yes
2018-06-08 00:00:00,What is the mechanism of action of Denosumab?,"Denosumab is a fully human monoclonal antibody to receptor activator of nuclear factor-kappa B ligand (RANKL), a cytokine that is involved in mediating osteoclast activity.",Endocrinology,,,Yes
2018-06-08 00:00:00,What is the only approved anabolic agent for osteoporosis?,Teriparatide,Endocrinology,,,Yes
2018-06-08 00:00:00,What is the role of calcitonin in osteoporosis management?,"Calcitonin is not as effective as other potent agents, and it is no longer be used for the treatment of osteoporosis owing to their finding that a higher proportion of patients treated with calcitonin for long periods of time develop various types of cancer compared with those taking placebo.",Endocrinology,,,
2018-06-08 00:00:00,What are the primary and secondary options for hypertensive crisis?,"A.	Phentolamine (alpha-adrenoceptor blocker)
B.	Sodium nitroprusside (nitro-vasodilator) ",Endocrinology,,,Yes
